candidate_id,queue_id,source_document_id,pmid,pmcid,doi,title,journal_or_agency,publication_year,source_url,evidence_domain,candidate_modality,candidate_source_location,candidate_matched_terms,fetch_status,article_type,pmc_license,proposed_source_location,source_anchor_hash,machine_matched_terms,molecule_name_proposed,molecule_id,molecule_canonical_name,modality_name,target_gene_symbol_proposed,target_gene_symbol,disease_context,therapeutic_status,external_ids,verified_entity_table,endpoint_name_proposed,endpoint_name,endpoint_category_proposed,endpoint_category,evidence_type_proposed,evidence_type,assay_type_proposed,assay_type,model_context_proposed,model_context,organism,cell_line_or_tissue,dose_value,dose_unit,exposure_time_value,exposure_time_unit,replicate_count,assay_source_location,measured_value_proposed,measured_value,measured_unit_proposed,measured_unit,direction_proposed,direction,significance_label_proposed,significance_label,offtarget_gene_symbol,offtarget_transcript_id,measured_effect,effect_unit,match_type,seed_match_length,is_observed_experimental,is_computational_prediction,evidence_grade_proposed,evidence_grade,source_location_verified,benchmark_eligible_proposed,curator_decision,curator_id,validation_status,audit_note_proposed,audit_note,risk_flags
8787,30941,12074,39829590,PMC11740622,10.1021/acsomega.4c08314,"Comparative Study of Functionalized Carbosilane Dendrimers for siRNA Delivery: Synthesis, Cytotoxicity, and Biophysical Properties.",ACS Omega,2025,https://pubmed.ncbi.nlm.nih.gov/39829590/,toxicity,siRNA,PubMed abstract sentence 4,toxicity;toxic,cache,research-article,,Results and Discussion > Cytotoxicity; paragraph 34,531265664997e4cd,toxicity; toxic; liver; cytotoxicity; immunogenicity; sirna,,,,siRNA,,,,,{},toxicity_endpoint,hepatotoxicity,hepatotoxicity,hepatic,hepatic,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,Results and Discussion > Cytotoxicity; paragraph 34,false,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",discussion_or_conclusion_anchor
9157,31847,12342,41304812,PMC12655120,10.3390/pharmaceutics17111476,Heterofunctional Cationic Polyester Dendrimers as Potent Nonviral Vectors for siRNA Delivery.,Pharmaceutics,2025,https://pubmed.ncbi.nlm.nih.gov/41304812/,toxicity,siRNA,PubMed abstract sentence 4,toxicity;toxic,cache,research-article,,3. Results and Discussion; paragraph 21,3cc1a2948ef0ada0,toxicity; toxic; neurotoxicity; safety; cytotoxicity,,,,siRNA,,,,,{},toxicity_endpoint,neurotoxicity,neurotoxicity,neurological,neurological,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,3. Results and Discussion; paragraph 21,false,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",discussion_or_conclusion_anchor
9266,32124,12426,39448881,PMC12018592manuscript-id: NIHMS2046510,10.1038/s41587-024-02448-0,Gold-siRNA supraclusters enhance the anti-tumor immune response of stereotactic ablative radiotherapy at primary and metastatic tumors.,Nat Biotechnol,2025,https://pubmed.ncbi.nlm.nih.gov/39448881/,toxicity,siRNA,PubMed abstract sentence 3,toxicity;toxic,cache,research-article,,Results > In vivo clearance and traceable delivery of supraclusters; paragraph 8,ae403fffb29fb54d,renal; kidney; liver,,,,siRNA,,,,,{},toxicity_endpoint,hepatotoxicity,hepatotoxicity,hepatic,hepatic,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,Results > In vivo clearance and traceable delivery of supraclusters; paragraph 8,true,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",none
19,35,1005,38204162,PMC10861989,10.1016/j.ymthe.2024.01.005,The landscape of nanoparticle-based siRNA delivery and therapeutic development.,Mol Ther,2024,https://pubmed.ncbi.nlm.nih.gov/38204162/,toxicity,siRNA,PubMed abstract sentence 2,toxicity;toxic;renal,cache,review-article,,Abstract; paragraph 1,9928682d89e5680b,toxicity; toxic; renal; liver; sirna; small interfering rna,,,,siRNA,,,,,{},toxicity_endpoint,hepatotoxicity,hepatotoxicity,hepatic,hepatic,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,C,C,Abstract; paragraph 1,false,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",abstract_anchor_only; review_or_meta_analysis
196,422,1110,38978695,PMC11229412,10.1016/j.omtn.2024.102161,"Favorable efficacy and reduced acute neurotoxicity by antisense oligonucleotides with 2',4'-BNA/LNA with 9-(aminoethoxy)phenoxazine.",Mol Ther Nucleic Acids,2024,https://pubmed.ncbi.nlm.nih.gov/38978695/,toxicity,ASO,PubMed abstract sentence 4,toxicity;toxic,cache,research-article,,Results > G-clamp modification in ASO targeting Malat1 RNA mitigates acute CNS toxicity of ASO; paragraph 11,ff3b12a0bba95b5d,toxicity; toxic; neurotoxicity; tolerability; aso; gapmer; lna,,,,ASO,,,,,{},toxicity_endpoint,neurotoxicity,neurotoxicity,neurological,neurological,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,Results > G-clamp modification in ASO targeting Malat1 RNA mitigates acute CNS toxicity of ASO; paragraph 11,true,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",none
207,443,1115,39554992,PMC11567125,10.1016/j.omtn.2024.102359,Preventing acute neurotoxicity of CNS therapeutic oligonucleotides with the addition of Ca(2+) and Mg(2+) in the formulation.,Mol Ther Nucleic Acids,2024,https://pubmed.ncbi.nlm.nih.gov/39554992/,toxicity,ASO,PubMed abstract sentence 2,toxicity;toxic,cache,research-article,,Results > Using aCSF+ reduces the acute neurotoxicity of CNS-administered ASOs; paragraph 26,77d0f2fa3a0231f7,toxicity; toxic; neurotoxicity; liver; safety; tolerability; antisense; oligonucleotide; aso; sirna; gapmer,,,,ASO,,,,,{},toxicity_endpoint,hepatotoxicity,hepatotoxicity,hepatic,hepatic,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,Results > Using aCSF+ reduces the acute neurotoxicity of CNS-administered ASOs; paragraph 26,true,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",none
209,447,1116,38895198,PMC11185713,10.1101/2024.06.06.597639,Preventing acute neurotoxicity of CNS therapeutic oligonucleotides with the addition of Ca(2+) and Mg(2+) in the formulation.,bioRxiv,2024,https://pubmed.ncbi.nlm.nih.gov/38895198/,toxicity,ASO,PubMed abstract sentence 2,toxicity;toxic,cache,research-article,,Results > Di-siRNA phosphorothioate content and structure have minimal impact on the divalent cation formulation necessary to prevent neurotoxicity.; paragraph 21,048a0aae7a3c911b,toxicity; toxic; hepatotoxicity; neurotoxicity; adverse; tolerability; oligonucleotide; aso; sirna,,,,ASO,,,,,{},toxicity_endpoint,hepatotoxicity,hepatotoxicity,hepatic,hepatic,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,Results > Di-siRNA phosphorothioate content and structure have minimal impact on the divalent cation formulation necessary to prevent neurotoxicity.; paragraph 21,true,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",none
242,518,1135,39119918,PMC11417397,10.1093/nar/gkae686,"Efficacy, biodistribution and safety comparison of chemically modified antisense oligonucleotides in the retina.",Nucleic Acids Res,2024,https://pubmed.ncbi.nlm.nih.gov/39119918/,toxicity,ASO,PubMed abstract sentence 2,toxicity;toxic,cache,research-article,,Discussion; paragraph 46,fc95aa1f3df372f3,toxicity; toxic; liver; cytotoxicity; oligonucleotide; aso,,,,ASO,,,,,{},toxicity_endpoint,hepatotoxicity,hepatotoxicity,hepatic,hepatic,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,Discussion; paragraph 46,false,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",discussion_or_conclusion_anchor
451,1031,1287,39335447,PMC11428300,10.3390/biomedicines12091933,Calcium-Enhanced Medium-Based Delivery of Splice Modulating Antisense Oligonucleotides in 2D and 3D hiPSC-Derived Neuronal Models.,Biomedicines,2024,https://pubmed.ncbi.nlm.nih.gov/39335447/,toxicity,ASO,PubMed abstract sentence 4,toxicity;toxic,cache,research-article,,4. Discussion; paragraph 29,8a1026d4040f0e9e,toxicity; toxic; liver; cytotoxicity; oligonucleotide; aso; phosphorothioate; locked nucleic acid; lna,,,,ASO,,,,,{},toxicity_endpoint,hepatotoxicity,hepatotoxicity,hepatic,hepatic,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,4. Discussion; paragraph 29,false,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",discussion_or_conclusion_anchor
629,1469,1417,38391508,PMC10885958,10.3390/antibiotics13020122,General and Specific Cytotoxicity of Chimeric Antisense Oligonucleotides in Bacterial Cells and Human Cell Lines.,Antibiotics (Basel),2024,https://pubmed.ncbi.nlm.nih.gov/38391508/,toxicity,ASO,PubMed abstract sentence 2,toxicity;toxic,cache,research-article,,3. Results > 3.3. Cell Growth Inhibition by Antisense Oligonucleotides; paragraph 19,a1e4cf0d38c45d12,toxicity; toxic; cytotoxicity; aso,,,,ASO,,,,,{},toxicity_endpoint,toxicity,toxicity,general toxicity,general toxicity,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,3. Results > 3.3. Cell Growth Inhibition by Antisense Oligonucleotides; paragraph 19,true,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",none
1278,3056,1886,39264964,PMC11421824,10.1371/journal.pntd.0012502,Development of a Lipid-encapsulated TGFβRI-siRNA Drug for Liver Fibrosis Induced by Schistosoma mansoni.,PLoS Negl Trop Dis,2024,https://pubmed.ncbi.nlm.nih.gov/39264964/,toxicity,siRNA,PubMed abstract sentence 10,toxicity;toxic,cache,research-article,,3. Results > 3.7. In vivo toxicity of LNP-siTGFβRI; paragraph 36,592cb815ff7613cb,toxicity; toxic; kidney; safety,,,,siRNA,,,,,{},toxicity_endpoint,renal safety,renal safety,renal,renal,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,3. Results > 3.7. In vivo toxicity of LNP-siTGFβRI; paragraph 36,true,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",none
1552,3766,2104,39539730,PMC11558258,10.1016/j.bioactmat.2024.06.008,Gelatin and lipidoid integrate to create gelasomes to enhance siRNA delivery with low toxicity.,Bioact Mater,2024,https://pubmed.ncbi.nlm.nih.gov/39539730/,toxicity,siRNA,PubMed abstract sentence 7,toxicity;toxic,cache,research-article,,Results and discussion > In vivo repeat dose toxicity of gelasomes; paragraph 55,ab520fedcd383cf2,toxicity; toxic; adverse; aso; sirna,,,,siRNA,,,,,{},toxicity_endpoint,safety/tolerability,safety/tolerability,general safety,general safety,,,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,Results and discussion > In vivo repeat dose toxicity of gelasomes; paragraph 55,false,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",discussion_or_conclusion_anchor
