id,molecule_id,assay_id,endpoint_name,endpoint_category,measured_value,measured_unit,direction,significance_label,is_observed_experimental,source_document_id,source_location,evidence_grade
478,1007,755,hepatotoxicity,hepatic,,,no significant change,not significant,1,1185,Results > F-ASO gapmers reduce disease-associated repeat RNA foci in patient-derived NSCs; paragraph 32,A
479,507,756,hepatotoxicity,hepatic,,,decreased,,1,1193,Results > In Vivo Therapeutic Efficacy Evaluation in Various Mouse Models; paragraph 39,A
480,508,757,cell viability/cytotoxicity,general safety,,,,,1,1210,Materials and methods > Assessment of oligonucleotide toxicity (LD50) using the MTT assay; paragraph 13,A
481,1008,758,hepatotoxicity,hepatic,,,no significant change,not significant,1,1368,Results > Cytotoxicity of mPEG-Azo-PEI; paragraph 50,A
482,985,759,hepatotoxicity,hepatic,,,increased,,1,1773,Results and Discussion > Synergistic Effect of Ferroptosis Induction via GPX4 Inhibition and PDT; paragraph 15,C
483,985,760,hepatotoxicity,hepatic,,,no significant change,not significant,1,2412,RESULTS > siPAI-1 does not elicit overt toxicity in vivo.; paragraph 22,A
485,985,762,hepatotoxicity,hepatic,,,no significant change,not significant,1,3294,Results > The siLin28b Plus BMN673 Combination Inhibits the Deterioration of Vascular Permeability; paragraph 44,A
492,1009,769,hepatotoxicity,hepatic,,,increased,,1,5375,Results > Treatment continuation; paragraph 33,A
499,514,776,systemic safety/tolerability,general safety,,,increased,,1,6390,Results > Safety; paragraph 35,A
500,1010,777,hepatotoxicity,hepatic,,,no significant change,not significant,1,6475,Results > Safety evaluation through serum biochemistry; paragraph 22,A
509,985,786,hepatotoxicity,hepatic,,,,,1,7065,Results and Discussion > Cytotoxicity Assessment of Dendrimers; paragraph 43,C
510,988,787,hepatotoxicity,hepatic,,,no significant change,not significant,1,7129,Results and Discussion > In Vitro Photo‐Controlled Activation and Cytotoxicity of PURH; paragraph 13,C
