id,molecule_id,assay_id,endpoint_name,endpoint_category,measured_value,measured_unit,direction,significance_label,is_observed_experimental,source_document_id,source_location,evidence_grade
1156,1059,1433,hepatotoxicity,hepatic,,,,,1,3958,Results > The structure and chemical configuration of the siRNA affects the distribution pattern in mouse retinas; paragraph 7,A
1161,231,1438,hepatotoxicity,hepatic,,,increased,,1,10566,3. Results > 3.4. Safety > Adverse Events; paragraph 37,A
1172,985,1449,hepatotoxicity,hepatic,,,no significant change,not significant,1,10988,RESULTS > Extensive screening identifies a potent chemically stabilized SOD1-targeting siRNA; paragraph 11,A
1179,1078,1456,hepatotoxicity,hepatic,,,,,1,11191,Materials and methods > Cell viability assay; paragraph 15,B
1180,299,1457,systemic safety/tolerability,general safety,,,increased,,1,11199,Abstract > Methods; paragraph 2,B
1198,1097,1475,hepatotoxicity,hepatic,,,,,1,13888,Results and Discussion > Multifunctional Validation of siRNA‐CaP@PD1‐NVs In Vitro; paragraph 15,C
1203,1060,1480,hepatotoxicity,hepatic,,,increased,,1,1481,Results > RNA-seq reveals activation of the interferon response by all ASOs and additional off-target effects on gene expression by the repeat gapmer; paragraph 19,A
1214,1061,1491,hepatotoxicity,hepatic,,,increased,,1,3979,Results > si3033 has a good safety profile and enables JAK1 silencing in mouse skin over 5 weeks; paragraph 11,A
1220,599,1497,systemic safety/tolerability,general safety,,,increased,,1,11924,PubMed abstract,B
1240,986,1517,hepatotoxicity,hepatic,,,,,1,1619,Materials and methods > Animal studies > Study 1; paragraph 15,B
1244,1062,1521,hepatotoxicity,hepatic,,,decreased,,1,2210,"Results > PMOs, or Double-Stranded 2′ O-methyl Phosphorothioate AOs, Do Not Form Nuclear Inclusions, Protecting From Cellular Toxicity and Off-Target Transcript Effects; paragraph 53",A
1247,1063,1524,hepatotoxicity,hepatic,,,decreased,,1,4069,Results > Systematic chemical optimization of sFLT1-targeting siRNAs improves placental accumulation and degree of sFLT1 silencing with a better safety profile; paragraph 30,A
1257,599,1534,thrombocytopenia,hematological,,,no significant change,not significant,1,14599,RESULTS > Safety and tolerability; paragraph 21,A
1263,695,1540,hepatotoxicity,hepatic,,,,,1,1996,Results > Safety and Tolerability; FIG. 3 caption,A
1270,435,1547,hepatotoxicity,hepatic,,,increased,,1,12553,Results > In vitro cytotoxicity assay; paragraph 10,A
1289,1098,1566,hepatotoxicity,hepatic,,,,,1,4212,Results and Discussion; paragraph 10,C
1292,1079,1569,hepatotoxicity,hepatic,,,increased,,1,12604,Abstract; paragraph 1,B
1293,435,1570,hepatotoxicity,hepatic,,,decreased,,1,12616,RESULTS > Lipid-hsiRNAs elicit sustained systemic in vivo gene silencing after a single injection > Liver; paragraph 26,A
1297,986,1574,hepatotoxicity,hepatic,,,no significant change,not significant,1,12621,Results > Identification of Lead Oligonucleotide Targeting the CEP290 c.2991+1655A>G Mutation; paragraph 6,A
1306,1080,1583,hepatotoxicity,hepatic,,,,,1,4261,MATERIALS AND METHODS > In vivo anticancer efficacy; paragraph 31,B
1317,1081,1594,hepatotoxicity,hepatic,,,increased,,1,1737,PubMed abstract,B
1329,985,1606,hepatotoxicity,hepatic,,,no significant change,not significant,1,4516,PubMed abstract,B
1387,985,1664,hepatotoxicity,hepatic,,,no significant change,not significant,1,1478,PubMed abstract,B
1388,208,,intraocular pressure spike / ocular safety,toxicity,,,,,1,3960,PubMed abstract sentence 3,B
1389,208,,no adverse effects in chronic rodent dosing,toxicity,,,,,1,4253,PubMed abstract sentence 6,C
1390,208,,chemical-modification off-target reduction,chemistry,,,,,1,1003,PubMed abstract sentence 7,C
1391,208,,PANAC GalNAc-siRNA conjugation improves gene silencing,chemistry,,,,,1,1049,PubMed abstract sentence 3,C
1392,208,,2-prime ribose modification improves silencing and reduces off-targets,chemistry,,,,,1,1154,PubMed abstract sentence 1,C
1393,208,,seed-region modification reduces off-target binding,chemistry,,,,,1,1157,PubMed abstract sentence 1,C
1394,208,,LNA modification alters antiviral oligonucleotide activity,chemistry,,,,,1,1210,PubMed abstract sentence 10,C
1395,208,,scpBNA/scpBNA2 nuclease-stability and activity profile,chemistry,,,,,1,1408,PubMed abstract sentence 2,C
1396,208,,nucleobase modification reduces ASO hepatotoxicity,chemistry,,,,,1,1409,PubMed abstract sentence 2,C
1397,208,,GalNAc3 conjugation potency increase,chemistry,,,,,1,1465,PubMed abstract sentence 4,B
1398,208,,alkyl phosphonate seed modification improves specificity,chemistry,,,,,1,1497,PubMed abstract sentence 2,C
1399,208,,GNA isonucleotides improve activity/off-target profile,chemistry,,,,,1,2309,PubMed abstract sentence 1,C
1400,208,,3' terminal 2'-O-methyl activity reduction,chemistry,,,,,1,2762,PubMed abstract sentence 3,C
1401,208,,VHP peptide modification targeted siRNA-exosome delivery,chemistry,,,,,1,3325,PubMed abstract sentence 4,B
1402,208,,PDA/CD11b modification improves siRNA nanoparticle release and uptake,chemistry,,,,,1,3501,PubMed title,B
1403,208,,fluorocarbon/aptamer comodification enhances siRNA delivery,chemistry,,,,,1,3571,PubMed abstract sentence 4,B
1404,208,,cholesterol-siRNA conjugate liver macrophage delivery,chemistry,,,,,1,4047,PubMed abstract sentence 7,B
1405,208,,chemically modified siRNA allele-specific silencing,chemistry,,,,,1,4061,PubMed abstract sentence 2,B
1406,208,,2'-O-methyl/5' stabilization improves placental siRNA,chemistry,,,,,1,4069,PubMed abstract sentence 4,B
1407,208,,Pip6a conjugation enhances PMO muscle delivery,chemistry,,,,,1,4212,PubMed abstract sentence 4,B
1408,208,,sgc8 aptamer conjugation improves siRNA nanoparticle targeting,chemistry,,,,,1,12442,PubMed abstract sentence 5,B
1409,208,,fully modified siRNA improves tissue retention,chemistry,,,,,1,12636,PubMed abstract sentence 4,B
1410,208,,5'-vinylphosphonate improves siRNA accumulation/silencing,chemistry,,,,,1,12652,PubMed abstract sentence 4,B
1411,208,,TfR antibody-ASO brain transcytosis delivery,delivery,,,,,1,1080,PubMed abstract sentence 2,C
1412,208,,PEG-(GK)10 ASO polyplex sentinel lymph node delivery,delivery,,,,,1,1246,PubMed abstract sentence 3,C
1413,208,,PNMVA lipid carrier siRNA uptake/endosomal escape,delivery,,,,,1,1926,PubMed abstract sentence 2,C
1414,208,,aptamer-mediated tumor accumulation of cisplatin conjugate,delivery,,,,,1,2204,PubMed abstract sentence 4,C
1415,208,,PLGA/GelMA hydrogel siRNA cytoplasmic delivery,delivery,,,,,1,3276,PubMed abstract sentence 4,C
1416,208,,scFv macrophage-membrane liposome siRNA uptake,delivery,,,,,1,3529,PubMed title,C
1417,208,,hydrophobically modified peptide lung siRNA delivery,delivery,,,,,1,3950,PubMed abstract sentence 1,C
1418,208,,PAMAM dendrimer morpholino cellular delivery,delivery,,,,,1,4246,PubMed abstract sentence 1,C
1419,208,,RGD/KA26 nanoparticle NSUN2 siRNA uptake,delivery,,,,,1,4844,PubMed abstract sentence 1,C
1420,208,,SANG tumor RNAi payload delivery,delivery,,,,,1,6833,PubMed abstract sentence 2,C
1421,208,,recNANP conditional RNAi inducer release,delivery,,,,,1,8595,PubMed abstract sentence 5,C
1422,208,,DNA nanohydrogel ASO release after uptake,delivery,,,,,1,9651,PubMed abstract sentence 1,C
1423,208,,hyaluronic acid nanocarrier siGLUT1 tumor delivery,delivery,,,,,1,9875,PubMed title,C
1424,208,,mannosylated peptidyl lipid siG12S tumor delivery,delivery,,,,,1,9951,PubMed abstract sentence 1,C
1425,208,,lysine-modified chitosan siRNA uptake,delivery,,,,,1,12104,PubMed abstract sentence 1,C
1426,208,,modified PEI nanoparticle siRNA transfection efficacy,delivery,,,,,1,12538,PubMed title,C
1427,208,,ZNF416 siRNA liposome fibrotic lung targeting,delivery,,,,,1,12545,PubMed abstract sentence 8,C
1428,208,,pH-responsive NP siRNA-prodrug tumor release,delivery,,,,,1,12601,PubMed abstract sentence 1,C
1429,208,,cysteamine gold nanoparticle siRNA delivery,delivery,,,,,1,13711,PubMed abstract sentence 7,C
1430,208,,magnetic hyperthermia siRNA transfection,delivery,,,,,1,13877,PubMed abstract sentence 2,C
1431,208,,hepatic innate immune cytokine induction,toxicity,,,,,1,4262,source title,C
1432,208,,general in vivo safety profile,toxicity,,,,,1,1900,PubMed abstract sentence 6,C
1433,208,,mouse nontoxicity,toxicity,,,,,1,2002,PubMed abstract sentence 1,C
1434,208,,no adverse effects,toxicity,,,,,1,2009,PubMed abstract sentence 5,C
1435,208,,reduced side effects,toxicity,,,,,1,2015,PubMed abstract sentence 1,B
1436,208,,cell cytotoxicity absence,toxicity,,,,,1,2644,PubMed abstract sentence 13,C
1437,208,,adverse events,toxicity,,,,,1,2652,PubMed abstract sentence 3,B
1438,208,,IL-6 and CRP immune activation,toxicity,,,,,1,2712,PubMed abstract sentence 3,B
1439,208,,adverse drug reactions,toxicity,,,,,1,2789,PubMed abstract sentence 4,B
1440,208,,clinical tolerability,toxicity,,,,,1,2804,PubMed abstract sentence 6,B
1441,208,,renal tubular degeneration and glomerulopathy,toxicity,,,,,1,2825,PubMed abstract sentence 1,B
1442,208,,genotoxicity/mutagenesis,toxicity,,,,,1,2831,PubMed abstract sentence 3,C
1443,208,,absence of adverse systemic effects,toxicity,,,,,1,3865,PubMed abstract sentence 4,B
1444,208,,reduced adverse reactions,toxicity,,,,,1,3922,PubMed abstract sentence 2,C
1445,208,,ALT elevations,toxicity,,,,,1,4000,PubMed abstract sentence 4,B
1446,208,,transaminase increases,toxicity,,,,,1,4216,PubMed abstract sentence 1,B
1447,208,,infusion reactions adverse events,toxicity,,,,,1,4227,PubMed abstract sentence 13,B
1448,208,,adverse events/tolerability,toxicity,,,,,1,10468,PubMed abstract sentence 10,B
1449,208,,minor toxic side effects,toxicity,,,,,1,10550,PubMed abstract sentence 11,C
1450,208,,pulmonary surfactant biophysical function,toxicity,,,,,1,10623,PubMed abstract sentence 1,C
1451,208,,safety profile/minimal off-target effects,toxicity,,,,,1,10686,PubMed abstract sentence 6,C
1452,208,,cytokine release/immunostimulation,toxicity,,,,,1,10749,PubMed abstract sentence 1,B
1453,208,,biosafety,toxicity,,,,,1,11005,PubMed abstract sentence 8,C
1454,208,,hemolysis/no toxic manifestations,toxicity,,,,,1,11219,PubMed abstract sentence 7,C
1455,208,,minimal side effects,toxicity,,,,,1,11250,PubMed abstract sentence 4,B
1456,208,,acceptable safety,toxicity,,,,,1,11345,PubMed abstract sentence 1,B
1457,208,,safety profile in AS mouse model,toxicity,,,,,1,11551,PubMed abstract sentence 4,C
1458,208,,non-toxic gene silencing,toxicity,,,,,1,11863,PubMed abstract sentence 8,C
1459,208,,adjacent T-cell sparing,toxicity,,,,,1,12389,PubMed abstract sentence 7,C
1460,208,,promising drug safety in mice,toxicity,,,,,1,12451,PubMed abstract sentence 6,C
1461,208,,biocompatibility/biosafety in vitro and in vivo,toxicity,,,,,1,13796,PubMed abstract sentence 6,C
1462,208,,CSF leukocyte count increase,toxicity,,,,,1,14317,PubMed abstract sentence 4,B
